1762567191.955,696011.25
1762567192.955,1380600.9
1762567193.956,2065305.1
1762567194.950,2740425.3
1762567195.950,3429037
1762567196.942,4107731.3
1762567197.943,4792246.5
1762567198.944,5476589
1762567199.945,6160884
1762567200.946,6845021
1762567201.947,7529322.5
1762567202.948,8213285.5
1762567203.949,8897253
1762567204.950,9581339
1762567205.951,10264975
1762567206.953,10949020
1762567207.953,11632506
1762567208.955,12316257
1762567209.955,12999775
1762567210.956,13683607
1762567211.958,14366550
1762567212.959,15050072
1762567213.943,15751137
1762567214.937,16441693
